timestamps,TP9,AF7,AF8,TP10
1641303833.007,75.195,-34.668,-26.367,-41.504
1641303833.011,110.352,-41.504,-26.855,-71.777
1641303833.015,-3.418,-38.086,-19.043,-14.160
1641303833.019,-117.676,-41.992,-15.137,33.691
1641303833.023,-91.309,-45.898,-21.484,19.531
1641303833.027,53.711,-45.410,-36.621,-36.621
1641303833.030,110.352,-44.922,-41.016,-60.547
1641303833.034,12.695,-31.250,-27.832,-23.926
1641303833.038,-110.840,-30.273,-16.602,25.391
1641303833.042,-102.051,-38.086,-18.066,30.762
1641303833.046,37.598,-34.180,-25.391,-37.598
1641303833.065,112.793,-30.273,-26.367,-82.031
1641303833.069,27.344,-31.250,-26.855,-22.461
1641303833.073,-108.398,-36.133,-21.973,44.922
1641303833.077,-124.023,-33.691,-16.602,35.156
1641303833.081,4.395,-36.621,-27.832,-31.250
1641303833.085,98.145,-46.387,-39.062,-80.566
1641303833.089,24.414,-52.734,-39.551,-42.969
1641303833.092,-116.699,-44.434,-27.832,20.508
1641303833.096,-141.113,-32.227,-24.414,27.344
1641303833.100,-16.113,-35.645,-28.809,-23.438
1641303833.104,106.934,-35.645,-27.832,-75.195
1641303833.108,61.035,-32.227,-17.578,-60.059
1641303833.093,-90.820,-32.227,-10.742,5.859
1641303833.097,-136.230,-29.297,-16.602,33.203
1641303833.101,-27.344,-34.180,-15.625,-14.648
1641303833.105,99.121,-34.668,-19.043,-78.613
1641303833.109,82.031,-32.715,-31.250,-62.988
1641303833.113,-58.594,-38.574,-34.180,17.090
1641303833.117,-125.488,-41.992,-21.484,43.457
1641303833.120,-33.203,-38.086,-22.461,-10.254
1641303833.124,94.727,-41.016,-28.320,-77.148
1641303833.128,79.590,-47.363,-32.227,-70.801
1641303833.132,-65.430,-39.551,-24.414,7.812
1641303833.136,-141.113,-32.715,-7.812,35.645
1641303833.154,-51.758,-38.574,-11.230,-3.906
1641303833.158,93.262,-46.875,-13.672,-58.105
1641303833.162,110.840,-40.527,-16.602,-72.754
1641303833.166,-31.250,-35.156,-19.531,-4.883
1641303833.170,-141.602,-40.039,-14.160,45.410
1641303833.174,-70.312,-41.504,-15.137,21.973
1641303833.178,82.031,-38.574,-18.066,-51.758
1641303833.181,124.023,-32.227,-13.184,-71.777
1641303833.185,1.465,-33.691,-6.348,3.906
1641303833.189,-127.930,-41.992,-0.977,59.082
1641303833.193,-86.914,-33.691,1.465,35.645
1641303833.197,62.500,-26.367,-3.906,-29.297
1641303833.199,110.352,-34.180,-10.254,-58.594
1641303833.203,7.324,-41.016,-16.113,-9.277
1641303833.207,-106.934,-39.062,-17.090,49.316
1641303833.211,-84.473,-33.691,-14.160,34.668
1641303833.215,56.152,-36.133,-10.742,-27.344
1641303833.219,132.812,-34.180,-7.812,-58.594
1641303833.223,34.668,-28.320,-5.859,-12.207
1641303833.226,-116.211,-34.180,-15.137,34.180
1641303833.230,-133.301,-48.828,-28.809,23.926
1641303833.234,3.906,-52.246,-33.691,-25.879
1641303833.238,109.863,-36.621,-22.461,-87.891
1641303833.242,34.180,-39.062,-26.367,-60.547
1641303833.244,-110.840,-42.480,-26.367,8.301
1641303833.248,-125.977,-38.574,-12.207,14.648
1641303833.252,2.930,-31.250,-10.742,-33.691
1641303833.256,104.980,-25.879,-20.508,-78.125
1641303833.260,55.664,-27.344,-20.508,-48.340
1641303833.264,-83.984,-25.879,-22.949,14.648
1641303833.268,-124.512,-29.785,-26.367,21.973
1641303833.271,-21.484,-36.621,-35.645,-24.414
1641303833.275,90.332,-44.922,-45.410,-67.871
1641303833.279,66.406,-43.457,-29.297,-52.734
1641303833.283,-73.730,-32.227,-21.484,6.836
1641303833.287,-145.996,-37.109,-23.438,32.715
1641303833.287,-50.293,-45.410,-21.973,-11.230
1641303833.291,83.984,-38.574,-29.297,-81.543
1641303833.295,83.496,-29.297,-22.461,-64.453
1641303833.299,-65.918,-34.180,-22.949,12.207
1641303833.303,-150.391,-35.156,-26.367,41.504
1641303833.307,-60.059,-31.738,-28.320,1.465
1641303833.311,80.078,-35.645,-27.832,-71.777
1641303833.314,94.238,-41.016,-31.738,-75.195
1641303833.318,-28.320,-45.410,-46.387,19.531
1641303833.322,-113.770,-31.250,-33.691,52.734
1641303833.326,-70.801,-25.879,-12.207,-11.719
1641303833.330,64.453,-37.598,-11.719,-65.430
1641303833.334,104.492,-39.551,-17.578,-71.289
1641303833.338,-23.438,-35.645,-15.625,-12.207
1641303833.342,-136.230,-41.016,-17.090,39.062
1641303833.346,-98.633,-51.270,-19.043,15.625
1641303833.350,33.203,-52.734,-15.625,-55.176
1641303833.354,88.867,-49.805,-17.578,-76.172
1641303833.358,-16.602,-51.758,-19.043,-11.719
1641303833.361,-133.789,-53.223,-16.113,54.199
1641303833.365,-101.562,-45.410,-10.742,37.109
1641303833.369,45.410,-38.086,-7.812,-21.484
1641303833.373,116.211,-38.086,-10.742,-46.875
1641303833.377,14.160,-43.945,-13.184,-4.395
1641303833.379,-115.723,-41.992,-8.301,55.176
1641303833.383,-99.121,-34.180,-3.906,51.758
1641303833.387,43.457,-34.668,-4.883,-7.324
1641303833.391,132.812,-37.598,-12.207,-50.781
1641303833.395,55.664,-32.715,-12.207,-2.441
1641303833.399,-90.820,-32.715,-10.742,56.152
1641303833.403,-114.746,-41.016,-17.578,54.688
1641303833.406,9.766,-46.387,-23.438,10.742
1641303833.410,124.023,-31.738,-10.254,-48.828
1641303833.414,73.242,-20.996,-9.766,-34.668
1641303833.418,-82.031,-24.902,-23.926,30.762
1641303833.422,-128.906,-21.973,-21.484,36.621
1641303833.425,-7.324,-21.973,-20.020,-20.020
1641303833.429,112.305,-25.879,-16.602,-62.012
1641303833.433,58.594,-27.832,-17.578,-24.414
1641303833.437,-90.820,-27.344,-17.578,25.879
1641303833.441,-137.695,-26.367,-16.113,30.762
1641303833.445,-44.922,-36.133,-21.973,-4.883
